term,mean_tfidf
students,0.029138833061353866
course,0.027501342963332346
credits,0.0198417667374442
chinese,0.018240147016081367
duke,0.013562648329356396
university,0.01343551033352035
student,0.01323551505053666
social,0.013104162247555758
courses,0.01235192648346592
global,0.012341074425696206
academic,0.01220420672083236
world,0.011960960013856065
political,0.01194604097638876
china,0.011866081817232265
science,0.011681732169042166
credit,0.011643631381814056
term,0.011169839005546005
kunshan,0.010258179737445673
health,0.01012054639633941
history,0.009967056290299196
duke kunshan,0.00954451810920005
study,0.009487689169346407
credits course,0.009430883476446753
topics,0.009308361347608717
research,0.0089995790776367
introduction,0.00887609792748602
policy,0.008828022949024723
major,0.00876598891818725
polsci,0.008599082913522156
cultural,0.008556050223715356
