cluster,cluster_name,top_terms,size
0,Majors & Courses,"course, china, world, history, hist, global, chinese, cultural",226
1,Majors & Courses — Topic 2,"chinese, students, course, credits, language, china, courses, skills",130
2,Curriculum & Degree Requirements,"political, course, polsci, social, health, policy, pubpol, credits",268
3,Academic Procedures,"students, course, media, academic, mediart, writing, credits, student",195
4,Student Life & Support,"duke, university, students, kunshan, duke kunshan, kunshan university, credit, student",143
5,Majors & Courses — Topic 3,"math, course, science, credits, data, compsci, students, materials",196
6,Majors & Courses — Topic 4,"biol, environmental, molecular, biology, course, envir, chemistry, students",114
7,Academic Procedures — Topic 2,"students, course, student, term, academic, grade, credit, credits",203
