tweet_date,sentiment_score,tweet_count
2021-02-05,0.4835499583859928,8
2021-02-06,0.09237916848192418,13
2021-02-07,0.2354409454468017,6
2021-02-08,0.36927992758928274,23
2021-02-09,0.2976904038339853,15
2021-02-10,0.08372402969851257,9
2021-02-13,0.28041559509001673,10
2021-02-14,0.509929944241706,13
2021-02-15,0.4539909300087443,22
2021-02-18,0.3668956160079688,10
2021-02-19,0.3856517120674696,21
2021-02-22,0.3363003940869342,17
2021-02-28,0.2267515380622055,39
2021-03-11,0.23705801570654977,7
2021-03-12,0.2850185854260402,121
2021-04-05,0.23210971266962588,20
2021-04-06,0.28690766950603575,20
2021-04-07,0.2838965432186212,21
2021-04-08,0.3016951465336927,29
2021-04-09,0.24506089085173843,19
2021-04-10,0.38445025554392487,30
2021-04-11,0.257259986596182,13
2021-04-12,0.401662284686851,15
2021-04-17,0.1170515259727835,1
2021-04-18,0.20553794428997207,16
2021-04-19,0.326585897768382,18
2021-04-20,0.32140451979271517,27
2021-04-21,0.23113680841528217,22
2021-04-22,0.12667585069236031,30
2021-04-23,0.25233958758443836,31
2021-04-24,0.41069166423139075,22
2021-05-25,0.2624473043018952,15
2021-05-26,0.4274366383906454,38
2021-05-27,0.44164508002789016,22
2021-05-28,0.2238812605612614,47
2021-05-29,0.2098025167774823,45
2021-06-20,0.38866434367373587,5
2021-06-21,0.19785595744294857,69
2021-06-22,0.09879360892551226,54
2021-06-23,0.25576572945544446,39
2021-07-02,0.3950531989879285,15
2021-07-03,0.5717025437022977,29
2021-07-04,0.39032699035403007,30
2021-07-05,0.48778298400540016,33
2021-07-16,-0.12105545595598712,3
2021-07-17,0.5546972293484335,15
2021-07-18,0.5180004940127894,31
2021-07-19,0.4056839254164301,17
2021-07-20,0.31621287764573935,16
2021-07-21,0.2487812276573523,17
2021-07-22,0.5547376953909406,16
2021-07-23,0.4121054168480138,15
2021-07-24,0.19133841427457,9
2021-07-25,0.49333019321784377,4
2021-07-26,0.4699584676597554,13
2021-07-27,0.9526097998023032,2
2021-07-28,0.30164102495958406,3
2021-07-29,0.5254576293906817,6
2021-07-30,0.09708727548261069,9
2021-08-04,0.8437455790117383,1
2021-08-05,0.6264103556362292,3
2021-08-06,0.6662592300679535,5
2021-08-07,0.3828328473027795,2
2021-08-08,0.4113652976229787,19
2021-08-09,0.338285792497031,21
2021-08-14,0.5996196374374753,3
2021-08-15,0.5022615165992951,6
2021-08-16,0.2833872834882258,19
2021-08-17,0.4785686310012049,12
2021-08-18,0.5421532434605373,18
2021-08-19,0.2626194683427457,20
2021-08-20,0.330237381544936,23
2021-08-21,0.09608858224237338,8
2021-08-23,0.2626010829752141,11
2021-08-24,0.45610188096403503,13
2021-08-25,0.4163248450924201,19
2021-08-26,0.4996781717364987,15
2021-09-10,0.413263716550912,167
2021-10-18,0.45253934098790133,28
2021-10-19,0.46669098620569877,82
2021-10-20,0.4846973002974042,38
2021-10-21,0.5405074842161529,31
2021-10-22,0.5526206482366737,24
2021-10-23,0.35263212853007847,18
2021-10-27,0.7709026174021086,7
2021-10-28,0.5100069573769966,18
2021-10-29,0.6781782077824963,14
2021-11-04,0.637764803415242,12
2021-11-05,0.4261607648998809,12
2021-11-06,0.2867525349037074,23
2021-11-11,0.3472680279260708,9
2021-11-12,0.3514316558268749,18
2021-11-18,0.21306597131591004,26
2021-11-19,0.44584634625546943,48
2021-11-24,0.3096037339807178,6
2021-11-25,0.45784827128359623,44
2021-11-26,0.38759121653992074,43
2021-12-11,0.37288777362555264,20
2021-12-17,0.2940845228128767,56
2021-12-29,0.2643495938682463,8
2021-12-30,0.3895183755561754,83
2022-01-11,0.4140486117851521,7
2022-01-12,0.538614010775096,28
2022-01-13,0.39720825181898867,36
2022-01-14,0.46586637378980716,15
2022-01-19,0.0274230074137449,1
2022-01-20,0.704190543315445,13
2022-01-21,0.19294740573356026,19
2022-01-22,0.24157499259066148,48
2022-02-09,0.4303737633117004,101
2022-02-14,0.3380575741175562,28
2022-02-15,0.5423253301261483,38
2022-02-16,-0.0595967695116996,1
2022-02-17,0.3693361915921902,17
2022-02-18,0.33326250351034103,25
2022-03-02,0.37792795509449206,8
2022-03-06,0.24380406872369348,10
2022-03-07,0.4336040066742909,31
2022-03-08,0.5699054864700883,10
2022-03-09,0.5311442975013051,20
2022-03-10,0.5061761109598188,45
2022-03-15,0.34642646661133414,31
2022-03-16,0.4395103205554187,25
2022-03-17,0.39051481715351755,18
2022-03-18,0.3327784599626766,17
2022-03-19,0.4553480851334623,9
2022-03-20,0.5242498786454755,14
2022-03-21,0.28222772725192563,7
2022-03-23,0.4313417550971887,12
2022-03-24,0.41882825599682016,34
2022-04-13,0.37041213702306974,9
2022-04-14,0.4111849603036211,18
2022-04-15,0.20462488777641402,19
2022-04-16,0.46817457398754503,21
2022-04-17,0.08790572422246136,3
2022-04-18,0.3245991899029297,34
2022-04-19,0.40938746291212735,20
2022-04-20,0.423049419070594,6
2022-04-21,0.42777397704000275,15
2022-04-22,0.3852351125890643,22
2022-04-27,0.0485720122233033,1
2022-04-28,0.35808504143108927,15
2022-04-29,0.5455773918387982,13
2022-04-30,0.5416290317510214,23
2022-05-01,0.30435934937290415,26
2022-05-02,0.23742432775907218,26
2022-05-10,0.4904215501854196,5
2022-05-11,0.2400270207823875,12
2022-05-12,0.2034404367390696,23
2022-05-13,0.4641494330666635,23
2022-05-22,0.46597643776542763,11
2022-05-23,0.1012197881937027,1
2022-05-24,0.5069693676390065,12
2022-05-25,0.43379274461503053,11
2022-05-26,0.314476902965301,12
2022-05-27,0.1397950504271483,11
2022-05-28,0.1982652214688382,7
2022-05-29,0.37472029333898366,13
2022-05-30,0.4932863493449986,12
2022-05-31,0.46160680799088866,22
2022-06-01,0.4342508612272258,13
2022-06-02,0.14980417840706653,8
2022-06-03,0.1979550339009923,30
2022-06-04,0.14334585455556711,3
2022-06-14,0.44412214690237306,8
2022-06-15,0.1511486343485464,29
2022-06-17,0.43812737823463976,7
2022-06-18,0.3327155404395479,17
2022-06-19,-0.008033920974972159,13
2022-06-23,0.38171861361091336,15
2022-06-24,0.5365018980422368,3
2022-06-25,0.27717702783859116,13
2022-06-26,0.28712699605453323,17
2022-06-28,0.23294966989972934,6
2022-06-29,0.23043072327661018,30
2022-07-02,0.2790449734311551,4
2022-07-03,0.7601870507642161,4
2022-07-11,-0.015142374805041742,7
2022-07-12,0.06572062998863033,19
2022-07-13,0.2933645426571645,27
2022-07-14,0.24070978579402433,32
2022-07-15,0.36217639430715526,37
2022-07-16,0.19515414581507104,33
2022-07-17,0.09563021266578951,11
2022-08-30,0.28203553678467863,10
2022-08-31,0.18039951144185448,21
2022-09-01,0.20254064029466143,17
2022-09-02,0.418545750281473,31
2022-09-03,0.22831116449378894,16
2022-09-04,0.8397314061100284,3
2022-09-11,0.11106526094954455,4
2022-09-12,0.26765330386348063,25
2022-09-13,0.17650645265530326,16
2022-09-14,0.3059720239531168,23
2022-10-09,0.24332666669506575,10
2022-10-10,0.1455755902081728,25
2022-10-11,0.11189457693567068,26
2022-10-12,0.16043131891638038,35
2022-10-13,-0.00614627943230937,13
2022-10-14,0.16341478150317684,23
2022-10-15,0.3523656529483988,34
2022-11-07,0.31497673515696084,7
2022-11-08,-0.19887298531830314,10
2022-11-09,0.27390450622058576,27
2022-11-10,0.5918232440682394,7
2022-11-11,0.11209994391538203,10
2022-11-13,-0.2543076267465949,5
2022-11-14,0.22072396167602973,19
2022-11-15,-0.017199827334843598,20
2022-11-16,0.2830908807304998,30
2022-11-20,0.2182568525562861,7
2022-11-21,0.0856110466896401,24
2022-12-24,0.2856751493777015,7
2022-12-25,0.16890573045820928,20
2022-12-26,0.4324958785437047,1
2022-12-27,0.3104669881644301,39
2023-01-06,0.3106421146907711,7
2023-01-07,0.2501459129287728,35
2023-01-08,0.6098540005041286,6
2023-01-09,0.32658716105837743,51
